Transaction_ID,Product_ID,Price,Quantity
1,PROD_C,68.69,90
2,PROD_B,143.59,45
3,PROD_A,115.16,43
4,PROD_A,97.83,49
5,PROD_A,40.28,225
6,PROD_C,40.28,210
7,PROD_C,27.55,368
8,PROD_B,132.6,36
9,PROD_A,98.14,70
10,PROD_B,112.05,36
11,PROD_B,22.68,497
12,PROD_A,146.09,25
13,PROD_B,128.22,37
14,PROD_C,47.6,133
15,PROD_B,43.64,163
16,PROD_A,43.84,165
17,PROD_C,59.55,126
18,PROD_C,88.22,69
19,PROD_B,76.15,62
20,PROD_B,57.86,115
21,PROD_C,99.54,45
22,PROD_B,38.13,176
23,PROD_A,57.98,110
24,PROD_B,67.63,86
25,PROD_B,79.29,102
26,PROD_C,122.07,40
27,PROD_B,45.96,131
28,PROD_B,86.85,57
29,PROD_B,97.01,61
30,PROD_A,26.04,515
31,PROD_B,98.98,40
32,PROD_A,42.17,138
33,PROD_A,28.46,436
34,PROD_A,143.36,31
35,PROD_A,145.53,25
36,PROD_C,125.09,39
37,PROD_A,59.6,73
38,PROD_B,32.7,268
39,PROD_A,108.95,46
40,PROD_B,77.22,85
41,PROD_A,35.86,200
42,PROD_C,84.37,65
43,PROD_A,24.47,360
44,PROD_A,138.21,32
45,PROD_C,53.64,111
46,PROD_A,106.13,43
47,PROD_B,60.52,91
48,PROD_A,87.61,67
49,PROD_A,91.07,65
50,PROD_A,44.03,165
51,PROD_C,146.05,28
52,PROD_A,120.77,30
53,PROD_A,142.13,28
54,PROD_B,136.33,31
55,PROD_A,97.73,77
56,PROD_A,139.84,26
57,PROD_A,31.5,352
58,PROD_A,45.48,189
59,PROD_B,25.88,396
60,PROD_B,62.29,132
61,PROD_C,70.53,89
62,PROD_A,55.28,129
63,PROD_C,127.74,34
64,PROD_C,66.38,111
65,PROD_A,56.52,139
66,PROD_B,90.55,53
67,PROD_B,38.32,173
68,PROD_A,124.29,35
69,PROD_A,29.69,274
70,PROD_B,148.3,27
71,PROD_A,120.39,46
72,PROD_A,45.83,150
73,PROD_A,20.72,527
74,PROD_B,126.01,36
75,PROD_C,111.89,48
76,PROD_C,114.77,29
77,PROD_A,120.27,35
78,PROD_B,29.63,320
79,PROD_A,66.6,110
80,PROD_B,35.06,224
81,PROD_A,132.2,25
82,PROD_B,101.03,54
83,PROD_B,63.02,91
84,PROD_C,28.26,278
85,PROD_A,60.43,97
86,PROD_C,62.27,99
87,PROD_C,114.85,37
88,PROD_B,102.88,34
89,PROD_A,135.34,36
90,PROD_B,81.39,82
91,PROD_B,35.55,260
92,PROD_B,112.72,35
93,PROD_A,118.9,37
94,PROD_A,92.97,56
95,PROD_B,120.23,41
96,PROD_A,84.19,72
97,PROD_B,87.96,54
98,PROD_A,75.58,77
99,PROD_A,23.3,476
100,PROD_C,34.03,313
